Item No	Color	Code
970c00	Medium Dark Flesh	6155058
970c00	Medium Orange	4194110
970c00	Olive Green	6043605
970c00	Orange	4120158
970c00	Orange	4602964
970c00	Pearl Dark Gray	6197015
970c00	Pearl Gold	4512021
970c00	Pearl Gold	4583245
970c00	Pearl Light Gold	4141085
970c00	Red	4582576
970c00	Red	9342
970c00	Reddish Brown	4221886
970c00	Reddish Brown	4569114
970c00	Sand Blue	4267425
970c00	Sand Blue	4589895
970c00	Sand Green	4206504
970c00	Sand Green	4583282
970c00	Tan	4107623
970c00	Tan	4570435
970c00	White	4570434
970c00	White	9327
970c00pb023	Reddish Brown	4499949
970c00pb040	Dark Tan	4521806
970c00pb041	White	4530125
970c00pb042	White	4528210
970c00pb043	Pearl Gold	4549910
970c00pb044	Dark Blue	4550292
970c00pb045	Dark Bluish Gray	4551179
970c00pb046	Black	4552671
970c00pb047	Black	4552506
970c00pb048	Dark Brown	4552672
970c00pb049	White	4552719
970c00pb050	Red	4547968
970c00pb051	Light Bluish Gray	4571238
970c00pb052	White	4578907
970c00pb053	Tan	6045983
970c00pb054	Black	4580099
970c00pb055	Black	4580096
970c00pb056	Dark Bluish Gray	4566303
970c00pb056	Reddish Brown	6016709
970c00pb056	Reddish Brown	6045506
970c00pb057	Tan	4566274
970c00pb058	White	4566292
970c00pb058	White	6045702
970c00pb059	Light Bluish Gray	4569129
970c00pb060	White	4566305
970c00pb061	Dark Green	4586388
970c00pb061	Dark Green	6008164
970c00pb062	Black	4586383
970c00pb062	Black	6023468
970c00pb062	Black	6044677
970c00pb063	Dark Red	4586382
970c00pb063	Dark Red	6023466
970c00pb064	Sand Green	4585596
970c00pb065	Dark Pink	4590771
970c00pb065	Dark Pink	6044962
970c00pb066	White	4590838
970c00pb067	Tan	4590837
970c00pb068	Blue	4586386
970c00pb069	Dark Red	4596312
970c00pb070	Medium Dark Flesh	4596953
970c00pb071	Black	4597471
970c00pb071	Black	6023490
970c00pb072	Orange	4586113
970c00pb073	Blue	4597602
970c00pb074	Light Bluish Gray	4613494
970c00pb074	Light Bluish Gray	4621610
970c00pb075	Sand Blue	4610068
970c00pb076	White	4610062
970c00pb077	White	4610072
970c00pb077	White	6045889
970c00pb078	Tan	4610101
970c00pb079	White	4610059
970c00pb080	Dark Red	4610096
970c00pb081	Dark Tan	4614571
970c00pb082	Black	4613611
970c00pb083	Reddish Brown	4610070
970c00pb083	Reddish Brown	6045881
970c00pb084	White	4610056
970c00pb085	Pearl Gold	4616270
970c00pb086	White	4612843
970c00pb086	White	4614822
970c00pb087	White	4612329
970c00pb087	White	4631541
970c00pb087	White	4667795
970c00pb088	Blue	4612323
970c00pb088	Blue	4631549
970c00pb088	Blue	4667793
970c00pb089	Red	4631534
970c00pb089	Red	4667800
970c00pb089	Red	6023515
970c00pb090	White	4620542
970c00pb091	Red	4612333
970c00pb091	Red	4614105
970c00pb091	Red	4631529
970c00pb091	Red	4667796
970c00pb092	Black	4618998
970c00pb092	Black	6022361
970c00pb094	Blue	4620536
970c00pb094	Blue	4631551
970c00pb095	Black	4612327
970c00pb095	Black	4667794
970c00pb096	Dark Blue	4618132
970c00pb097	Dark Tan	4618860
970c00pb098	White	4618130
970c00pb099	Dark Blue	6016513
970c00pb099	Medium Blue	4618128
970c00pb100	Dark Tan	4618437
970c00pb101	Sand Blue	4618511
970c00pb102	Black	4618129
970c00pb102	Black	6043795
970c00pb103	Black	4618131
970c00pb104	Black	4631555
970c00pb105	Black	4625580
970c00pb106	Reddish Brown	4619527
970c00pb106	Reddish Brown	4639763
970c00pb107	Dark Brown	4636420
970c00pb107	Dark Brown	6023656
970c00pb108	Black	4636467
970c00pb108	Black	6023654
970c00pb109	Dark Brown	4638386
970c00pb109	Dark Brown	4642584
970c00pb110	White	4586152
970c00pb111	Reddish Brown	4619510
970c00pb112	Reddish Brown	4623108
970c00pb113	Dark Bluish Gray	4625604
970c00pb113	Dark Bluish Gray	6023635
970c00pb114	Dark Tan	4637679
970c00pb115	Black	4623649
970c00pb115	Black	4642512
970c00pb115	Black	6023685
970c00pb116	Black	4624618
970c00pb116	Black	6023689
970c00pb117	Sand Blue	4623892
970c00pb117	Sand Blue	6023687
970c00pb118	White	4624616
970c00pb121	Black	4630159
970c00pb121	Black	4636072
970c00pb121	Black	4667803
970c00pb121	Black	6023700
970c00pb122	Tan	4668465
970c00pb123	Dark Pink	4636847
970c00pb124	Red	4631535
970c00pb124	Red	4667798
970c00pb124	Red	6023508
970c00pb125	Black	4639555
970c00pb125	Black	6023548
970c00pb126	Dark Blue	4652436
970c00pb126	Dark Blue	6023399
970c00pb127	White	4650494
970c00pb127	White	6030646
970c00pb128	Bright Light Orange	4649722
970c00pb128	Bright Light Orange	6002312
970c00pb128	Bright Light Orange	6044961
970c00pb129	Dark Blue	6022358
970c00pb130	Dark Tan	4656727
970c00pb130	Dark Tan	6032106
970c00pb131	Blue	4650492
970c00pb131	Blue	6002280
970c00pb132	White	4648341
970c00pb133	Red	4650487
970c00pb134	Light Bluish Gray	4645539
970c00pb134	Light Bluish Gray	6010754
970c00pb135	White	4648338
970c00pb136	Bright Light Blue	4653180
970c00pb137	Black	4650495
970c00pb137	Black	6020813
970c00pb138	Red	4648092
970c00pb138	Red	6002281
970c00pb139	Dark Blue	4652420
970c00pb140	Black	4652087
970c00pb141	Lime	4647765
970c00pb142	Dark Pink	4652810
970c00pb143	Black	4652082
970c00pb144	Dark Brown	4656389
970c00pb145	Red	4654231
970c00pb145	Red	6028068
970c00pb149	Black	6000432
970c00pb150	White	6000445
970c00pb151	White	6000444
970c00pb152	Red	6005452
970c00pb152	Red	6024074
970c00pb153	Lime	4655379
970c00pb154	Dark Red	6005445
970c00pb154	Dark Red	6023546
970c00pb155	Dark Red	6007330
970c00pb155	Dark Red	6015460
970c00pb155	Dark Red	6024026
970c00pb155	Dark Red	6139514
970c00pb156	White	6015920
970c00pb156	White	6032390
970c00pb157	Dark Tan	6004303
970c00pb157	Dark Tan	6022469
970c00pb158	Blue	6006269
970c00pb158	Blue	6022498
970c00pb159	Dark Brown	6004401
970c00pb159	Dark Brown	6023405
970c00pb160	Black	6018684
970c00pb160	Black	6143335
970c00pb161	Dark Tan	6005283
970c00pb162	Dark Bluish Gray	6005530
970c00pb162	Dark Bluish Gray	6023552
970c00pb163	Light Bluish Gray	6005484
970c00pb164	Sand Blue	6004160
970c00pb164	Sand Blue	6022467
970c00pb165	Olive Green	6005468
970c00pb165	Olive Green	6022486
970c00pb166	White	6018803
970c00pb168	White	6019167
970c00pb169	Blue	6018703
970c00pb170	Red	6019077
970c00pb171	Black	4650761
970c00pb172	Dark Bluish Gray	6005446
970c00pb172	Dark Bluish Gray	6023375
970c00pb172	Dark Bluish Gray	6139506
970c00pb173	Black	6005447
970c00pb173	Black	6023532
970c00pb174	Dark Brown	6012370
970c00pb174	Dark Brown	6023559
970c00pb175	Dark Azure	6005723
970c00pb176	Black	6006266
970c00pb176	Black	6022490
970c00pb176	Black	6044881
970c00pb177	Dark Blue	6006293
970c00pb178	Lime	4647760
970c00pb179	Lime	6001078
970c00pb180	Bright Light Blue	6006111
970c00pb181	Black	6020818
970c00pb182	Black	6005451
970c00pb182	Black	6024024
970c00pb183	Green	4650497
970c00pb183	Green	6008545
970c00pb183	Green	6032150
970c00pb184	Dark Blue	4645494
970c00pb184	Dark Blue	6002270
970c00pb185	Dark Blue	6002764
970c00pb186	White	4651720
970c00pb186	White	6002294
970c00pb187	Dark Bluish Gray	6005444
970c00pb187	Dark Bluish Gray	6023536
970c00pb188	Light Bluish Gray	6005443
970c00pb188	Light Bluish Gray	6023526
970c00pb189	Bright Light Orange	6008275
970c00pb190	Red	6020817
970c00pb191	Sand Blue	6006595
970c00pb191	Sand Blue	6022489
970c00pb192	Bright Green	6025366
970c00pb192	Green	6025395
970c00pb193	Sand Green	6005501
970c00pb193	Sand Green	6032137
970c00pb194	White	6005560
970c00pb195	Dark Blue	6008012
970c00pb196	Tan	6006530
970c00pb196	Tan	6032143
970c00pb197	White	6007952
970c00pb198	White	6016588
970c00pb199	Black	6016536
970c00pb200	Black	6008011
970c00pb201	White	6008013
970c00pb203	Blue	6006110
970c00pb203	Blue	6024027
970c00pb208	Dark Brown	6023064
970c00pb209	Dark Red	6024573
970c00pb210	Dark Azure	6023285
970c00pb211	Olive Green	6023276
970c00pb212	Dark Brown	6023063
970c00pb213	Bright Green	6023292
970c00pb213	Dark Azure	6023291
970c00pb213	Orange	6023288
970c00pb213	Red	6023290
970c00pb214	Dark Red	6023273
970c00pb215	Dark Azure	6020210
970c00pb216	Black	6019226
970c00pb217	Black	6020564
970c00pb218	Black	6019204
970c00pb219	Black	6021001
970c00pb220	Pearl Gold	6021479
970c00pb221	Black	6020160
970c00pb221	Black	6030683
970c00pb222	Black	6020588
970c00pb223	Red	6021768
970c00pb224	Blue	6016067
970c00pb225	Dark Blue	6018588
970c00pb225	Dark Blue	6030212
970c00pb226	Black	6016071
970c00pb227	Red	6023287
970c00pb228	Orange	6023278
970c00pb229	Black	6006052
970c00pb230	Black	6023799
970c00pb230	Black	6038613
970c00pb231	Bright Green	6023286
970c00pb232	Black	6022682
970c00pb233	Dark Red	6034152
970c00pb234	Dark Red	6029855
970c00pb235	Dark Red	6041730
970c00pb236	Dark Red	6041733
970c00pb237	Dark Bluish Gray	6041731
970c00pb238	Olive Green	6043463
970c00pb240	White	6031246
970c00pb241	White	6031247
970c00pb242	Black	6031251
970c00pb243	Bright Light Orange	6031249
970c00pb244	Dark Bluish Gray	6033571
